AIRPORTS,DATE,TIME,FLIGHT,ORIGIN,AIRCRAFT,AIRLINE/OPERATOR,STATUS,DURATION
Bakalalan Airport ( BKM / WBGQ ),2021 Jul 26,10:15ÿMYT,MH3540,Lawasÿ(LWY/WBGW),DHC6,Malaysia Airlines,SCHEDULED IN 1d 3h,00h35m
Bario Airport ( BBN / WBGZ ),2021 Jul 26,13:55ÿMYT,MH3436,Miriÿ(MYY/WBGR),DHC6,Malaysia Airlines,SCHEDULED IN 1d 6h,00h50m
Bario Airport ( BBN / WBGZ ),2021 Jul 26,13:45ÿMYT,MH3434,Miriÿ(MYY/WBGR),DHC6,Malaysia Airlines,SCHEDULED IN 1d 6h,00h50m
Bario Airport ( BBN / WBGZ ),2021 Jul 26,12:10ÿMYT,MH3722,Marudiÿ(MUR/WBGM),DHC6,Malaysia Airlines,SCHEDULED IN 1d 4h,00h40m
Bario Airport ( BBN / WBGZ ),2021 Jul 25,12:25ÿMYT,MH3436,Miriÿ(MYY/WBGR),DHC6,Malaysia Airlines,EST. DEPART IN 5h 3m,00h50m
Bario Airport ( BBN / WBGZ ),2021 Jul 25,10:05ÿMYT,MH3434,Miriÿ(MYY/WBGR),DHC6,Malaysia Airlines,EST. DEPART IN 2h 43m,00h50m
Bario Airport ( BBN / WBGZ ),2021 Jul 18,10:40ÿMYT,MH3722,Marudiÿ(MUR/WBGM),DHC6,Malaysia Airlines,CANCELLED,00h40m
Bintulu Airport ( BTU / WBGB ),2021 Jul 25,12:20ÿMYT,MH3740,Sibuÿ(SBW/WBGS),AT72,Malaysia Airlines,EST. DEPART IN 5h 10m,00h45m
Bintulu Airport ( BTU / WBGB ),2021 Jul 25,07:35ÿMYT,MH3441,Miriÿ(MYY/WBGR),AT72,Malaysia Airlines,EST. DEPART IN 25m,00h50m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 26,11:25ÿMYT,MH3013,Lahad Datuÿ(LDU/WBKD),AT72,Malaysia Airlines,SCHEDULED IN 1d 3h,00h55m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 26,10:55ÿMYT,MH2612,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,SCHEDULED IN 1d 1h,02h40m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,22:00ÿMYT,AK5138,Kuala Lumpurÿ(KUL/WMKK),-,AirAsia,SCHEDULED IN 12h 51m,02h30m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,20:45ÿMYT,MH2638,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,02h35m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,20:40ÿMYT,AK5306,Senaiÿ(JHB/WMKJ),-,AirAsia,EST. DEPART IN 12h 1m,02h20m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,17:15ÿMYT,MH3019,Lahad Datuÿ(LDU/WBKD),AT72,Malaysia Airlines,EST. DEPART IN 9h 41m,00h55m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,16:35ÿMYT,MH2711,Sandakanÿ(SDK/WBKS),B738,Malaysia Airlines,EST. DEPART IN 10h 56m,02h35m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,16:05ÿMYT,AK5322,Penangÿ(PEN/WMKP),-,AirAsia,EST. DEPART IN 6h 56m,02h50m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,15:40ÿMYT,MH2614,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,EST. DEPART IN 6h 26m,02h35m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,13:50ÿMYT,MH2646,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,02h35m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,13:35ÿMYT,MH3015,Lahad Datuÿ(LDU/WBKD),AT72,Malaysia Airlines,EST. DEPART IN 6h 1m,01h11m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,12:55ÿMYT,MH2710,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,EST. DEPART IN 3h 36m,02h44m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,11:55ÿMYT,MH3162,Limbangÿ(LMN/WBGJ),DHC6,Malaysia Airlines,EST. DEPART IN 4h 26m,00h50m
Kota Kinabalu International Airport ( BKI / WBKK ),2021 Jul 25,11:35ÿMYT,MH3046,Labuanÿ(LBU/WBKL),AT72,Malaysia Airlines,EST. DEPART IN 4h 21m,00h35m
