NUMBER,AIRPORTS,CITY,COUNTRY,LATITUDE,LONGITUDE
3262,Bintulu Airport,Bintulu,Malaysia,3.123850107,113.0199966
3263,Kuching International Airport,Kuching,Malaysia,1.484699965,110.3470001
3264,Limbang Airport,Limbang,Malaysia,4.808300018,115.0100021
3265,Marudi Airport,Marudi,Malaysia,4.178979874,114.3290024
3266,Miri Airport,Miri,Malaysia,4.32201004,113.9869995
3267,Sibu Airport,Sibu,Malaysia,2.261600018,111.9850006
3268,Lahad Datu Airport,Lahad Datu,Malaysia,5.032249928,118.3239975
3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,5.937210083,116.0510025
3270,Labuan Airport,Labuan,Malaysia,5.300680161,115.25
3271,Tawau Airport,Tawau,Malaysia,4.320159912,118.1279984
3295,Kluang Airport,Kluang,Malaysia,2.041389942,103.3069992
3296,Sultan Abdul Halim Airport,Alor Setar,Malaysia,6.189670086,100.3980026
3297,Butterworth Airport,Butterworth,Malaysia,5.465919971,100.3909988
3298,Sultan Ismail Petra Airport,Kota Bahru,Malaysia,6.16685009,102.2929993
3299,Kuantan Airport,Kuantan,Malaysia,3.77538991,103.2089996
3300,Kerteh Airport,Kerteh,Malaysia,4.537220001,103.427002
3301,Simpang Airport,Simpang,Malaysia,3.11225009,101.7030029
3302,Sultan Azlan Shah Airport,Ipoh,Malaysia,4.567969799,101.0920029
3303,Senai International Airport,Johor Bahru,Malaysia,1.64131,103.669998
3304,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,2.745579958,101.7099991
3305,Langkawi International Airport,Langkawi,Malaysia,6.329730034,99.72869873
3306,Malacca Airport,Malacca,Malaysia,2.263360024,102.2519989
3307,Sultan Mahmud Airport,Kuala Terengganu,Malaysia,5.382639885,103.1029968
3308,Penang International Airport,Penang,Malaysia,5.297140121,100.2770004
3407,Pulau Tioman Airport,Tioman,Malaysia,2.818180084,104.1600037
3408,Sultan Abdul Aziz Shah International Airport,Kuala Lumpur,Malaysia,3.130579948,101.5490036
4013,LTS Pulau Redang Airport,Redang,Malaysia,5.76527977,103.0070038
4056,Mulu Airport,Mulu,Malaysia,4.04832983,114.8050003
4141,Sandakan Airport,Sandakan,Malaysia,5.900899887,118.0589981
6214,Belaga Airport,Belaga,Malaysia,2.650000095,113.7669983
6215,Long Lellang Airport,Long Datih,Malaysia,3.421000004,115.1539993
6216,Long Seridan Airport,Long Seridan,Malaysia,3.967000008,115.0500031
6217,Mukah Airport,Mukah,Malaysia,2.90639,112.080002
6218,Bakalalan Airport,Bakalalan,Malaysia,3.973999977,115.6179962
6219,Lawas Airport,Lawas,Malaysia,4.84917,115.407997
6220,Bario Airport,Bario,Malaysia,3.733890057,115.4789963
6221,Tomanggong Airport,Tomanggong,Malaysia,5.40257,118.65763
6222,Kudat Airport,Kudat,Malaysia,6.922500134,116.8359985
6230,Pulau Pangkor Airport,Pangkor Island,Malaysia,4.244719982,100.5530014
6769,Long Akah Airport,Long Akah,Malaysia,3.299999952,114.7829971
